"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Для авторизированного пользователя успешно редактируем данные : email, password, name, проверка тела ответа и сообщение ","536","Проверка успешного изменения данных для авторизированного пользователя","tests","Thu May 08 14:44:59 BST 2025","passed","Thu May 08 14:45:00 BST 2025","TestChangeUserData","test_change_user_data","",""
"Проверка наличия сообщение об ошибке и коде 500 при попытке создать заказ с невалидным ингредиентом","154","Создание заказа для авторизированного пользователя и с невалидным ингредиентом ","tests","Thu May 08 14:45:09 BST 2025","passed","Thu May 08 14:45:09 BST 2025","TestCreateOrder","test_create_order","",""
"Запрос на создание пользователя без обязательного поля и проверка наличия кода 403 и текста ошибки","162","Получение сообщения об ошибке при попытке создать пользователя без одного из обязательных полей: email, password, name","tests","Thu May 08 14:45:13 BST 2025","passed","Thu May 08 14:45:13 BST 2025","TestUserRegister","test_user_register","",""
"Создание заказа с неавторизованным пользователем и без ингредиентов, проверка на наличие ошибки и текста ошибки","161","Создание заказа без авторизации и без ингредиентов","tests","Thu May 08 14:45:09 BST 2025","passed","Thu May 08 14:45:09 BST 2025","TestCreateOrder","test_create_order","",""
"Авторизирование в системе и создание заказа, получение кода 200 ","2992","Создание заказа авторизированным пользователем с ингредиентами ","tests","Thu May 08 14:45:03 BST 2025","passed","Thu May 08 14:45:06 BST 2025","TestCreateOrder","test_create_order","",""
"Проверка тела ответа и получения сообщения об ошибке и коде 401 при попытке авторизироватся с неверными данными или отсутствии одного и данных ","180","Проверка получения сообщения об ошибке при попытке авторизации с неверным паролем, логином или отсутствии одного из полей","tests","Thu May 08 14:45:12 BST 2025","passed","Thu May 08 14:45:12 BST 2025","TestUserLogin","test_login_user","",""
"Проверка тела ответа и получения сообщения об ошибке и коде 401 при попытке авторизироватся с неверными данными или отсутствии одного и данных ","159","Проверка получения сообщения об ошибке при попытке авторизации с неверным паролем, логином или отсутствии одного из полей","tests","Thu May 08 14:45:12 BST 2025","passed","Thu May 08 14:45:12 BST 2025","TestUserLogin","test_login_user","",""
"Попытка изменить email, password или name без токена авторизации должна завершиться ошибкой 401 и соответствующим сообщением","152","Проверка изменения данных без авторизации","tests","Thu May 08 14:45:02 BST 2025","passed","Thu May 08 14:45:02 BST 2025","TestChangeUserData","test_change_user_data","",""
"Для авторизированного пользователя успешно редактируем данные : email, password, name, проверка тела ответа и сообщение ","385","Проверка успешного изменения данных для авторизированного пользователя","tests","Thu May 08 14:44:58 BST 2025","passed","Thu May 08 14:44:58 BST 2025","TestChangeUserData","test_change_user_data","",""
"Проверка создания существующего пользователя повторно и проверка кода и текста ошибки","314","Получение ошибки при попытке создать уже зарегистриованого пользователя","tests","Thu May 08 14:45:13 BST 2025","passed","Thu May 08 14:45:13 BST 2025","TestUserRegister","test_user_register","",""
"Проверка тела ответа и получения сообщения об ошибке и коде 401 при попытке авторизироватся с неверными данными или отсутствии одного и данных ","233","Проверка получения сообщения об ошибке при попытке авторизации с неверным паролем, логином или отсутствии одного из полей","tests","Thu May 08 14:45:11 BST 2025","passed","Thu May 08 14:45:12 BST 2025","TestUserLogin","test_login_user","",""
"Создание заказа для неавторизованного пользователя, ожидаем успешный ответ (200) без токена.","342","Создание заказа без авторизации но с ингредиентами","tests","Thu May 08 14:45:07 BST 2025","passed","Thu May 08 14:45:07 BST 2025","TestCreateOrder","test_create_order","",""
"Запрос на создание пользователя без обязательного поля и проверка наличия кода 403 и текста ошибки","161","Получение сообщения об ошибке при попытке создать пользователя без одного из обязательных полей: email, password, name","tests","Thu May 08 14:45:13 BST 2025","passed","Thu May 08 14:45:13 BST 2025","TestUserRegister","test_user_register","",""
"Запрос на создание пользователя без обязательного поля и проверка наличия кода 403 и текста ошибки","163","Получение сообщения об ошибке при попытке создать пользователя без одного из обязательных полей: email, password, name","tests","Thu May 08 14:45:13 BST 2025","passed","Thu May 08 14:45:13 BST 2025","TestUserRegister","test_user_register","",""
"Проверка успешной авторизации под существующим пользователем, тело ответа","289","Проверка логина под существующим пользователем","tests","Thu May 08 14:45:11 BST 2025","passed","Thu May 08 14:45:11 BST 2025","TestUserLogin","test_login_user","",""
"Для авторизированного пользователя успешно редактируем данные : email, password, name, проверка тела ответа и сообщение ","156","Проверка успешного изменения данных для авторизированного пользователя","tests","Thu May 08 14:45:01 BST 2025","passed","Thu May 08 14:45:01 BST 2025","TestChangeUserData","test_change_user_data","",""
"Проверка успешного получения списка заказов авторизированного пользователя","851","Успешное получение списка заказов авторизированного пользователя ","tests","Thu May 08 14:45:10 BST 2025","passed","Thu May 08 14:45:11 BST 2025","TestGetUserOrder","test_get_order_by_user","",""
"Ожидаемый код 401 и сообщение об отсутсвии авторизации","164","Попытка получить заказ без авторизации","tests","Thu May 08 14:45:11 BST 2025","passed","Thu May 08 14:45:11 BST 2025","TestGetUserOrder","test_get_order_by_user","",""
"Создание пользователя. Проверка статуса ответа и тела ответа","238","Успешная регистрация пользователя","tests","Thu May 08 14:45:12 BST 2025","passed","Thu May 08 14:45:13 BST 2025","TestUserRegister","test_user_register","",""
"Проверка тела ответа и получения сообщения об ошибке и коде 401 при попытке авторизироватся с неверными данными или отсутствии одного и данных ","281","Проверка получения сообщения об ошибке при попытке авторизации с неверным паролем, логином или отсутствии одного из полей","tests","Thu May 08 14:45:12 BST 2025","passed","Thu May 08 14:45:12 BST 2025","TestUserLogin","test_login_user","",""
"Попытка изменить email, password или name без токена авторизации должна завершиться ошибкой 401 и соответствующим сообщением","161","Проверка изменения данных без авторизации","tests","Thu May 08 14:45:02 BST 2025","passed","Thu May 08 14:45:02 BST 2025","TestChangeUserData","test_change_user_data","",""
"Попытка изменить email, password или name без токена авторизации должна завершиться ошибкой 401 и соответствующим сообщением","154","Проверка изменения данных без авторизации","tests","Thu May 08 14:45:02 BST 2025","passed","Thu May 08 14:45:02 BST 2025","TestChangeUserData","test_change_user_data","",""
"Авторизированный пользователь создает заказ без ингредиентов","159","Создание заказа с авторизированным пользователям но без ингредиентов ","tests","Thu May 08 14:45:08 BST 2025","passed","Thu May 08 14:45:08 BST 2025","TestCreateOrder","test_create_order","",""
